date,Morgan Stanley stock price
2020-01-01,32
2020-02-01,30
2020-03-01,53
2020-04-01,49
2020-05-01,34
2020-06-01,34
2020-07-01,40
2020-08-01,36
2020-09-01,27
2020-10-01,29
2020-11-01,30
2020-12-01,38
2021-01-01,40
2021-02-01,40
2021-03-01,42
2021-04-01,43
2021-05-01,32
2021-06-01,38
2021-07-01,41
2021-08-01,38
2021-09-01,34
2021-10-01,40
2021-11-01,40
2021-12-01,45
2022-01-01,48
2022-02-01,42
2022-03-01,44
2022-04-01,36
2022-05-01,34
2022-06-01,36
2022-07-01,35
2022-08-01,33
2022-09-01,23
2022-10-01,29
2022-11-01,27
2022-12-01,22
2023-01-01,32
2023-02-01,26
2023-03-01,39
2023-04-01,29
2023-05-01,26
2023-06-01,26
2023-07-01,30
2023-08-01,25
2023-09-01,23
2023-10-01,25
2023-11-01,28
2023-12-01,32
2024-01-01,29
2024-02-01,32
2024-03-01,26
2024-04-01,35
2024-05-01,28
2024-06-01,25
2024-07-01,33
2024-08-01,34
2024-09-01,29
2024-10-01,35
2024-11-01,37
2024-12-01,30
2025-01-01,38
2025-02-01,38
2025-03-01,30
2025-04-01,41
2025-05-01,34
2025-06-01,35
2025-07-01,49
2025-08-01,100
