date,buy IBM shares
2020-01-01,0
2020-02-01,58
2020-03-01,95
2020-04-01,91
2020-05-01,71
2020-06-01,64
2020-07-01,50
2020-08-01,0
2020-09-01,44
2020-10-01,83
2020-11-01,72
2020-12-01,0
2021-01-01,70
2021-02-01,77
2021-03-01,69
2021-04-01,95
2021-05-01,0
2021-06-01,0
2021-07-01,50
2021-08-01,0
2021-09-01,52
2021-10-01,49
2021-11-01,75
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,68
2022-04-01,67
2022-05-01,50
2022-06-01,43
2022-07-01,0
2022-08-01,39
2022-09-01,64
2022-10-01,92
2022-11-01,77
2022-12-01,50
2023-01-01,84
2023-02-01,43
2023-03-01,43
2023-04-01,58
2023-05-01,49
2023-06-01,43
2023-07-01,53
2023-08-01,0
2023-09-01,58
2023-10-01,75
2023-11-01,47
2023-12-01,47
2024-01-01,40
2024-02-01,100
2024-03-01,0
2024-04-01,90
2024-05-01,60
2024-06-01,0
2024-07-01,44
2024-08-01,0
2024-09-01,75
2024-10-01,54
2024-11-01,72
2024-12-01,78
2025-01-01,0
2025-02-01,98
2025-03-01,72
2025-04-01,0
2025-05-01,0
2025-06-01,61
2025-07-01,0
2025-08-01,78
