date,Sonos Speaker review
2020-01-01,74
2020-02-01,47
2020-03-01,45
2020-04-01,76
2020-05-01,84
2020-06-01,77
2020-07-01,78
2020-08-01,70
2020-09-01,54
2020-10-01,64
2020-11-01,100
2020-12-01,81
2021-01-01,53
2021-02-01,45
2021-03-01,54
2021-04-01,70
2021-05-01,66
2021-06-01,72
2021-07-01,69
2021-08-01,58
2021-09-01,43
2021-10-01,49
2021-11-01,73
2021-12-01,79
2022-01-01,67
2022-02-01,51
2022-03-01,51
2022-04-01,52
2022-05-01,57
2022-06-01,60
2022-07-01,55
2022-08-01,48
2022-09-01,44
2022-10-01,43
2022-11-01,81
2022-12-01,66
2023-01-01,53
2023-02-01,55
2023-03-01,50
2023-04-01,49
2023-05-01,46
2023-06-01,52
2023-07-01,54
2023-08-01,45
2023-09-01,49
2023-10-01,43
2023-11-01,86
2023-12-01,73
2024-01-01,46
2024-02-01,38
2024-03-01,48
2024-04-01,40
2024-05-01,52
2024-06-01,61
2024-07-01,61
2024-08-01,50
2024-09-01,37
2024-10-01,40
2024-11-01,72
2024-12-01,75
2025-01-01,44
2025-02-01,33
2025-03-01,39
2025-04-01,32
2025-05-01,40
2025-06-01,44
2025-07-01,45
2025-08-01,87
