date,smart city
2020-01-01,42
2020-02-01,43
2020-03-01,36
2020-04-01,34
2020-05-01,40
2020-06-01,51
2020-07-01,53
2020-08-01,53
2020-09-01,55
2020-10-01,48
2020-11-01,38
2020-12-01,38
2021-01-01,41
2021-02-01,38
2021-03-01,42
2021-04-01,45
2021-05-01,52
2021-06-01,51
2021-07-01,47
2021-08-01,40
2021-09-01,43
2021-10-01,45
2021-11-01,43
2021-12-01,39
2022-01-01,43
2022-02-01,45
2022-03-01,48
2022-04-01,50
2022-05-01,51
2022-06-01,47
2022-07-01,44
2022-08-01,44
2022-09-01,39
2022-10-01,42
2022-11-01,43
2022-12-01,40
2023-01-01,41
2023-02-01,44
2023-03-01,44
2023-04-01,42
2023-05-01,43
2023-06-01,44
2023-07-01,40
2023-08-01,49
2023-09-01,45
2023-10-01,40
2023-11-01,43
2023-12-01,40
2024-01-01,41
2024-02-01,41
2024-03-01,43
2024-04-01,42
2024-05-01,41
2024-06-01,37
2024-07-01,38
2024-08-01,44
2024-09-01,42
2024-10-01,44
2024-11-01,41
2024-12-01,37
2025-01-01,81
2025-02-01,42
2025-03-01,43
2025-04-01,38
2025-05-01,41
2025-06-01,47
2025-07-01,62
2025-08-01,100
