date,Saudi Arabia
2020-08-02,7
2020-08-09,8
2020-08-16,8
2020-08-23,7
2020-08-30,7
2020-09-06,7
2020-09-13,8
2020-09-20,8
2020-09-27,7
2020-10-04,7
2020-10-11,7
2020-10-18,7
2020-10-25,7
2020-11-01,7
2020-11-08,7
2020-11-15,7
2020-11-22,7
2020-11-29,6
2020-12-06,6
2020-12-13,7
2020-12-20,7
2020-12-27,7
2021-01-03,7
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,8
2021-02-07,7
2021-02-14,8
2021-02-21,7
2021-02-28,7
2021-03-07,8
2021-03-14,7
2021-03-21,7
2021-03-28,7
2021-04-04,7
2021-04-11,9
2021-04-18,7
2021-04-25,8
2021-05-02,7
2021-05-09,16
2021-05-16,8
2021-05-23,7
2021-05-30,7
2021-06-06,7
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,7
2021-07-11,7
2021-07-18,7
2021-07-25,8
2021-08-01,7
2021-08-08,7
2021-08-15,8
2021-08-22,8
2021-08-29,8
2021-09-05,8
2021-09-12,8
2021-09-19,8
2021-09-26,7
2021-10-03,8
2021-10-10,8
2021-10-17,8
2021-10-24,8
2021-10-31,7
2021-11-07,8
2021-11-14,8
2021-11-21,8
2021-11-28,9
2021-12-05,13
2021-12-12,8
2021-12-19,8
2021-12-26,8
2022-01-02,9
2022-01-09,9
2022-01-16,8
2022-01-23,9
2022-01-30,9
2022-02-06,8
2022-02-13,9
2022-02-20,10
2022-02-27,9
2022-03-06,10
2022-03-13,13
2022-03-20,16
2022-03-27,18
2022-04-03,9
2022-04-10,9
2022-04-17,9
2022-04-24,17
2022-05-01,12
2022-05-08,10
2022-05-15,9
2022-05-22,9
2022-05-29,9
2022-06-05,10
2022-06-12,10
2022-06-19,10
2022-06-26,11
2022-07-03,10
2022-07-10,10
2022-07-17,10
2022-07-24,14
2022-07-31,11
2022-08-07,11
2022-08-14,11
2022-08-21,11
2022-08-28,11
2022-09-04,10
2022-09-11,10
2022-09-18,11
2022-09-25,11
2022-10-02,10
2022-10-09,11
2022-10-16,11
2022-10-23,11
2022-10-30,13
2022-11-06,11
2022-11-13,15
2022-11-20,100
2022-11-27,44
2022-12-04,14
2022-12-11,12
2022-12-18,12
2022-12-25,14
2023-01-01,15
2023-01-08,15
2023-01-15,14
2023-01-22,12
2023-01-29,12
2023-02-05,12
2023-02-12,12
2023-02-19,13
2023-02-26,13
2023-03-05,13
2023-03-12,14
2023-03-19,19
2023-03-26,13
2023-04-02,13
2023-04-09,13
2023-04-16,23
2023-04-23,12
2023-04-30,12
2023-05-07,11
2023-05-14,11
2023-05-21,12
2023-05-28,12
2023-06-04,13
2023-06-11,12
2023-06-18,13
2023-06-25,11
2023-07-02,11
2023-07-09,12
2023-07-16,12
2023-07-23,14
2023-07-30,13
2023-08-06,13
2023-08-13,14
2023-08-20,14
2023-08-27,14
2023-09-03,13
2023-09-10,14
2023-09-17,15
2023-09-24,15
2023-10-01,13
2023-10-08,16
2023-10-15,14
2023-10-22,13
2023-10-29,13
2023-11-05,13
2023-11-12,14
2023-11-19,12
2023-11-26,12
2023-12-03,12
2023-12-10,12
2023-12-17,12
2023-12-24,13
2023-12-31,13
2024-01-07,14
2024-01-14,14
2024-01-21,14
2024-01-28,14
2024-02-04,12
2024-02-11,11
2024-02-18,11
2024-02-25,11
2024-03-03,16
2024-03-10,15
2024-03-17,11
2024-03-24,13
2024-03-31,12
2024-04-07,20
2024-04-14,14
2024-04-21,11
2024-04-28,11
2024-05-05,11
2024-05-12,11
2024-05-19,14
2024-05-26,11
2024-06-02,12
2024-06-09,12
2024-06-16,11
2024-06-23,11
2024-06-30,10
2024-07-07,10
2024-07-14,10
2024-07-21,10
2024-07-28,10
2024-08-04,10
2024-08-11,10
2024-08-18,11
2024-08-25,11
2024-09-01,13
2024-09-08,12
2024-09-15,11
2024-09-22,11
2024-09-29,11
2024-10-06,12
2024-10-13,11
2024-10-20,11
2024-10-27,11
2024-11-03,12
2024-11-10,14
2024-11-17,15
2024-11-24,11
2024-12-01,10
2024-12-08,12
2024-12-15,13
2024-12-22,14
2024-12-29,12
2025-01-05,11
2025-01-12,11
2025-01-19,11
2025-01-26,12
2025-02-02,12
2025-02-09,11
2025-02-16,12
2025-02-23,15
2025-03-02,11
2025-03-09,12
2025-03-16,11
2025-03-23,18
2025-03-30,12
2025-04-06,12
2025-04-13,12
2025-04-20,13
2025-04-27,11
2025-05-04,11
2025-05-11,15
2025-05-18,11
2025-05-25,13
2025-06-01,12
2025-06-08,12
2025-06-15,15
2025-06-22,15
2025-06-29,15
2025-07-06,11
2025-07-13,13
2025-07-20,17
2025-07-27,26
