date,Nike
2020-01-01,81
2020-02-01,76
2020-03-01,65
2020-04-01,64
2020-05-01,82
2020-06-01,83
2020-07-01,84
2020-08-01,83
2020-09-01,80
2020-10-01,81
2020-11-01,91
2020-12-01,93
2021-01-01,77
2021-02-01,76
2021-03-01,85
2021-04-01,79
2021-05-01,79
2021-06-01,70
2021-07-01,81
2021-08-01,86
2021-09-01,80
2021-10-01,79
2021-11-01,96
2021-12-01,97
2022-01-01,90
2022-02-01,81
2022-03-01,87
2022-04-01,88
2022-05-01,84
2022-06-01,81
2022-07-01,85
2022-08-01,91
2022-09-01,88
2022-10-01,83
2022-11-01,100
2022-12-01,100
2023-01-01,83
2023-02-01,85
2023-03-01,83
2023-04-01,86
2023-05-01,86
2023-06-01,78
2023-07-01,82
2023-08-01,86
2023-09-01,81
2023-10-01,83
2023-11-01,97
2023-12-01,96
2024-01-01,78
2024-02-01,73
2024-03-01,77
2024-04-01,77
2024-05-01,74
2024-06-01,73
2024-07-01,74
2024-08-01,81
2024-09-01,74
2024-10-01,69
2024-11-01,87
2024-12-01,87
2025-01-01,69
2025-02-01,68
2025-03-01,82
2025-04-01,73
2025-05-01,72
2025-06-01,67
2025-07-01,72
2025-08-01,78
