date,US aid to Afghanistan
2020-01-01,0
2020-02-01,22
2020-03-01,24
2020-04-01,23
2020-05-01,27
2020-06-01,16
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,23
2020-12-01,0
2021-01-01,0
2021-02-01,19
2021-03-01,0
2021-04-01,24
2021-05-01,31
2021-06-01,17
2021-07-01,24
2021-08-01,100
2021-09-01,77
2021-10-01,43
2021-11-01,32
2021-12-01,27
2022-01-01,59
2022-02-01,39
2022-03-01,45
2022-04-01,73
2022-05-01,75
2022-06-01,37
2022-07-01,29
2022-08-01,26
2022-09-01,32
2022-10-01,34
2022-11-01,23
2022-12-01,54
2023-01-01,39
2023-02-01,39
2023-03-01,41
2023-04-01,46
2023-05-01,64
2023-06-01,26
2023-07-01,26
2023-08-01,28
2023-09-01,30
2023-10-01,58
2023-11-01,49
2023-12-01,48
2024-01-01,32
2024-02-01,49
2024-03-01,54
2024-04-01,55
2024-05-01,81
2024-06-01,36
2024-07-01,33
2024-08-01,34
2024-09-01,37
2024-10-01,50
2024-11-01,44
2024-12-01,40
2025-01-01,59
2025-02-01,83
2025-03-01,62
2025-04-01,49
2025-05-01,52
2025-06-01,45
2025-07-01,34
2025-08-01,76
