date,Intifada
2020-01-01,28
2020-02-01,10
2020-03-01,8
2020-04-01,9
2020-05-01,9
2020-06-01,13
2020-07-01,7
2020-08-01,6
2020-09-01,7
2020-10-01,6
2020-11-01,6
2020-12-01,6
2021-01-01,6
2021-02-01,6
2021-03-01,6
2021-04-01,6
2021-05-01,43
2021-06-01,8
2021-07-01,5
2021-08-01,5
2021-09-01,5
2021-10-01,4
2021-11-01,5
2021-12-01,4
2022-01-01,5
2022-02-01,6
2022-03-01,8
2022-04-01,10
2022-05-01,10
2022-06-01,6
2022-07-01,4
2022-08-01,6
2022-09-01,5
2022-10-01,6
2022-11-01,6
2022-12-01,6
2023-01-01,11
2023-02-01,9
2023-03-01,9
2023-04-01,8
2023-05-01,8
2023-06-01,7
2023-07-01,9
2023-08-01,5
2023-09-01,4
2023-10-01,100
2023-11-01,57
2023-12-01,50
2024-01-01,21
2024-02-01,19
2024-03-01,18
2024-04-01,51
2024-05-01,76
2024-06-01,24
2024-07-01,15
2024-08-01,15
2024-09-01,25
2024-10-01,27
2024-11-01,16
2024-12-01,14
2025-01-01,18
2025-02-01,12
2025-03-01,15
2025-04-01,14
2025-05-01,18
2025-06-01,52
2025-07-01,41
2025-08-01,22
