date,ethereum
2020-01-01,4
2020-02-01,6
2020-03-01,5
2020-04-01,5
2020-05-01,7
2020-06-01,6
2020-07-01,8
2020-08-01,12
2020-09-01,8
2020-10-01,6
2020-11-01,12
2020-12-01,15
2021-01-01,50
2021-02-01,55
2021-03-01,36
2021-04-01,51
2021-05-01,100
2021-06-01,43
2021-07-01,32
2021-08-01,44
2021-09-01,37
2021-10-01,40
2021-11-01,45
2021-12-01,40
2022-01-01,46
2022-02-01,38
2022-03-01,30
2022-04-01,24
2022-05-01,27
2022-06-01,32
2022-07-01,26
2022-08-01,25
2022-09-01,30
2022-10-01,16
2022-11-01,19
2022-12-01,13
2023-01-01,16
2023-02-01,14
2023-03-01,14
2023-04-01,16
2023-05-01,11
2023-06-01,12
2023-07-01,11
2023-08-01,9
2023-09-01,9
2023-10-01,10
2023-11-01,13
2023-12-01,16
2024-01-01,16
2024-02-01,17
2024-03-01,27
2024-04-01,15
2024-05-01,17
2024-06-01,13
2024-07-01,14
2024-08-01,14
2024-09-01,10
2024-10-01,8
2024-11-01,24
2024-12-01,23
2025-01-01,17
2025-02-01,16
2025-03-01,14
2025-04-01,13
2025-05-01,15
2025-06-01,12
2025-07-01,23
2025-08-01,59
