date,US conflict
2020-08-02,6
2020-08-09,6
2020-08-16,6
2020-08-23,8
2020-08-30,9
2020-09-06,10
2020-09-13,11
2020-09-20,12
2020-09-27,13
2020-10-04,11
2020-10-11,10
2020-10-18,11
2020-10-25,10
2020-11-01,13
2020-11-08,12
2020-11-15,10
2020-11-22,8
2020-11-29,10
2020-12-06,11
2020-12-13,11
2020-12-20,5
2020-12-27,4
2021-01-03,9
2021-01-10,9
2021-01-17,8
2021-01-24,9
2021-01-31,9
2021-02-07,9
2021-02-14,9
2021-02-21,11
2021-02-28,12
2021-03-07,11
2021-03-14,9
2021-03-21,10
2021-03-28,10
2021-04-04,9
2021-04-11,11
2021-04-18,11
2021-04-25,12
2021-05-02,11
2021-05-09,18
2021-05-16,19
2021-05-23,11
2021-05-30,8
2021-06-06,7
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,5
2021-07-11,6
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,7
2021-08-22,6
2021-08-29,7
2021-09-05,7
2021-09-12,9
2021-09-19,8
2021-09-26,9
2021-10-03,9
2021-10-10,8
2021-10-17,9
2021-10-24,10
2021-10-31,10
2021-11-07,10
2021-11-14,11
2021-11-21,6
2021-11-28,10
2021-12-05,10
2021-12-12,10
2021-12-19,5
2021-12-26,4
2022-01-02,7
2022-01-09,10
2022-01-16,10
2022-01-23,15
2022-01-30,13
2022-02-06,15
2022-02-13,18
2022-02-20,36
2022-02-27,29
2022-03-06,22
2022-03-13,17
2022-03-20,18
2022-03-27,20
2022-04-03,21
2022-04-10,17
2022-04-17,20
2022-04-24,23
2022-05-01,22
2022-05-08,21
2022-05-15,17
2022-05-22,15
2022-05-29,11
2022-06-05,10
2022-06-12,10
2022-06-19,9
2022-06-26,7
2022-07-03,7
2022-07-10,7
2022-07-17,7
2022-07-24,7
2022-07-31,9
2022-08-07,7
2022-08-14,7
2022-08-21,9
2022-08-28,11
2022-09-04,11
2022-09-11,12
2022-09-18,12
2022-09-25,12
2022-10-02,13
2022-10-09,13
2022-10-16,14
2022-10-23,14
2022-10-30,14
2022-11-06,14
2022-11-13,15
2022-11-20,9
2022-11-27,16
2022-12-04,16
2022-12-11,16
2022-12-18,8
2022-12-25,4
2023-01-01,9
2023-01-08,12
2023-01-15,13
2023-01-22,14
2023-01-29,16
2023-02-05,16
2023-02-12,16
2023-02-19,13
2023-02-26,16
2023-03-05,18
2023-03-12,14
2023-03-19,15
2023-03-26,16
2023-04-02,15
2023-04-09,15
2023-04-16,18
2023-04-23,19
2023-04-30,19
2023-05-07,19
2023-05-14,15
2023-05-21,13
2023-05-28,10
2023-06-04,9
2023-06-11,9
2023-06-18,8
2023-06-25,7
2023-07-02,7
2023-07-09,8
2023-07-16,7
2023-07-23,7
2023-07-30,6
2023-08-06,6
2023-08-13,6
2023-08-20,8
2023-08-27,10
2023-09-03,11
2023-09-10,12
2023-09-17,13
2023-09-24,13
2023-10-01,15
2023-10-08,38
2023-10-15,25
2023-10-22,22
2023-10-29,19
2023-11-05,18
2023-11-12,19
2023-11-19,11
2023-11-26,17
2023-12-03,19
2023-12-10,17
2023-12-17,11
2023-12-24,5
2023-12-31,9
2024-01-07,12
2024-01-14,14
2024-01-21,17
2024-01-28,21
2024-02-04,18
2024-02-11,16
2024-02-18,17
2024-02-25,19
2024-03-03,18
2024-03-10,14
2024-03-17,17
2024-03-24,16
2024-03-31,15
2024-04-07,20
2024-04-14,22
2024-04-21,22
2024-04-28,22
2024-05-05,22
2024-05-12,17
2024-05-19,15
2024-05-26,11
2024-06-02,11
2024-06-09,11
2024-06-16,9
2024-06-23,9
2024-06-30,7
2024-07-07,8
2024-07-14,8
2024-07-21,8
2024-07-28,7
2024-08-04,8
2024-08-11,9
2024-08-18,10
2024-08-25,11
2024-09-01,12
2024-09-08,14
2024-09-15,15
2024-09-22,16
2024-09-29,18
2024-10-06,16
2024-10-13,15
2024-10-20,15
2024-10-27,14
2024-11-03,20
2024-11-10,16
2024-11-17,18
2024-11-24,10
2024-12-01,16
2024-12-08,19
2024-12-15,14
2024-12-22,5
2024-12-29,6
2025-01-05,13
2025-01-12,15
2025-01-19,13
2025-01-26,18
2025-02-02,19
2025-02-09,18
2025-02-16,16
2025-02-23,20
2025-03-02,21
2025-03-09,18
2025-03-16,16
2025-03-23,16
2025-03-30,19
2025-04-06,20
2025-04-13,16
2025-04-20,17
2025-04-27,22
2025-05-04,24
2025-05-11,20
2025-05-18,16
2025-05-25,12
2025-06-01,16
2025-06-08,37
2025-06-15,66
2025-06-22,100
2025-06-29,19
2025-07-06,13
2025-07-13,16
2025-07-20,24
2025-07-27,40
