date,US aid to Russia
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,8
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,15
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,9
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,12
2022-01-30,11
2022-02-06,0
2022-02-13,9
2022-02-20,39
2022-02-27,57
2022-03-06,27
2022-03-13,39
2022-03-20,17
2022-03-27,14
2022-04-03,10
2022-04-10,28
2022-04-17,21
2022-04-24,28
2022-05-01,21
2022-05-08,15
2022-05-15,19
2022-05-22,15
2022-05-29,9
2022-06-05,0
2022-06-12,16
2022-06-19,10
2022-06-26,0
2022-07-03,8
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,8
2022-08-28,9
2022-09-04,0
2022-09-11,9
2022-09-18,10
2022-09-25,13
2022-10-02,12
2022-10-09,15
2022-10-16,0
2022-10-23,14
2022-10-30,12
2022-11-06,12
2022-11-13,24
2022-11-20,12
2022-11-27,7
2022-12-04,14
2022-12-11,10
2022-12-18,13
2022-12-25,0
2023-01-01,8
2023-01-08,0
2023-01-15,12
2023-01-22,18
2023-01-29,12
2023-02-05,15
2023-02-12,12
2023-02-19,31
2023-02-26,19
2023-03-05,7
2023-03-12,14
2023-03-19,13
2023-03-26,0
2023-04-02,12
2023-04-09,10
2023-04-16,13
2023-04-23,11
2023-04-30,13
2023-05-07,16
2023-05-14,12
2023-05-21,12
2023-05-28,9
2023-06-04,0
2023-06-11,10
2023-06-18,0
2023-06-25,7
2023-07-02,11
2023-07-09,9
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,14
2023-08-27,0
2023-09-03,0
2023-09-10,14
2023-09-17,11
2023-09-24,12
2023-10-01,17
2023-10-08,20
2023-10-15,20
2023-10-22,21
2023-10-29,10
2023-11-05,13
2023-11-12,15
2023-11-19,9
2023-11-26,16
2023-12-03,18
2023-12-10,20
2023-12-17,15
2023-12-24,0
2023-12-31,0
2024-01-07,13
2024-01-14,14
2024-01-21,15
2024-01-28,18
2024-02-04,18
2024-02-11,28
2024-02-18,24
2024-02-25,20
2024-03-03,21
2024-03-10,18
2024-03-17,17
2024-03-24,16
2024-03-31,17
2024-04-07,18
2024-04-14,29
2024-04-21,44
2024-04-28,29
2024-05-05,14
2024-05-12,19
2024-05-19,18
2024-05-26,17
2024-06-02,11
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,10
2024-07-07,8
2024-07-14,0
2024-07-21,10
2024-07-28,0
2024-08-04,0
2024-08-11,14
2024-08-18,0
2024-08-25,9
2024-09-01,0
2024-09-08,9
2024-09-15,0
2024-09-22,0
2024-09-29,11
2024-10-06,14
2024-10-13,0
2024-10-20,0
2024-10-27,9
2024-11-03,14
2024-11-10,23
2024-11-17,20
2024-11-24,13
2024-12-01,20
2024-12-08,21
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,9
2025-01-12,11
2025-01-19,10
2025-01-26,19
2025-02-02,19
2025-02-09,21
2025-02-16,49
2025-02-23,59
2025-03-02,100
2025-03-09,31
2025-03-16,27
2025-03-23,13
2025-03-30,11
2025-04-06,12
2025-04-13,16
2025-04-20,15
2025-04-27,22
2025-05-04,14
2025-05-11,13
2025-05-18,9
2025-05-25,0
2025-06-01,10
2025-06-08,11
2025-06-15,16
2025-06-22,19
2025-06-29,0
2025-07-06,0
2025-07-13,19
2025-07-20,13
2025-07-27,27
