date,India
2020-01-01,76
2020-02-01,76
2020-03-01,74
2020-04-01,62
2020-05-01,58
2020-06-01,63
2020-07-01,61
2020-08-01,59
2020-09-01,56
2020-10-01,53
2020-11-01,59
2020-12-01,85
2021-01-01,83
2021-02-01,91
2021-03-01,95
2021-04-01,55
2021-05-01,59
2021-06-01,73
2021-07-01,74
2021-08-01,91
2021-09-01,64
2021-10-01,61
2021-11-01,71
2021-12-01,65
2022-01-01,67
2022-02-01,67
2022-03-01,60
2022-04-01,52
2022-05-01,51
2022-06-01,69
2022-07-01,100
2022-08-01,82
2022-09-01,81
2022-10-01,79
2022-11-01,75
2022-12-01,71
2023-01-01,76
2023-02-01,67
2023-03-01,65
2023-04-01,47
2023-05-01,50
2023-06-01,64
2023-07-01,65
2023-08-01,65
2023-09-01,93
2023-10-01,74
2023-11-01,82
2023-12-01,71
2024-01-01,63
2024-02-01,61
2024-03-01,48
2024-04-01,45
2024-05-01,47
2024-06-01,84
2024-07-01,71
2024-08-01,63
2024-09-01,56
2024-10-01,62
2024-11-01,63
2024-12-01,70
2025-01-01,59
2025-02-01,60
2025-03-01,54
2025-04-01,42
2025-05-01,56
2025-06-01,60
2025-07-01,83
2025-08-01,69
