date,NVO
2020-08-02,9
2020-08-09,8
2020-08-16,8
2020-08-23,8
2020-08-30,9
2020-09-06,8
2020-09-13,8
2020-09-20,8
2020-09-27,8
2020-10-04,8
2020-10-11,8
2020-10-18,8
2020-10-25,8
2020-11-01,8
2020-11-08,8
2020-11-15,8
2020-11-22,7
2020-11-29,8
2020-12-06,8
2020-12-13,9
2020-12-20,8
2020-12-27,10
2021-01-03,9
2021-01-10,9
2021-01-17,8
2021-01-24,9
2021-01-31,9
2021-02-07,11
2021-02-14,10
2021-02-21,9
2021-02-28,10
2021-03-07,9
2021-03-14,9
2021-03-21,8
2021-03-28,8
2021-04-04,8
2021-04-11,10
2021-04-18,8
2021-04-25,7
2021-05-02,7
2021-05-09,9
2021-05-16,9
2021-05-23,8
2021-05-30,8
2021-06-06,13
2021-06-13,12
2021-06-20,9
2021-06-27,9
2021-07-04,9
2021-07-11,8
2021-07-18,9
2021-07-25,8
2021-08-01,8
2021-08-08,9
2021-08-15,9
2021-08-22,9
2021-08-29,9
2021-09-05,9
2021-09-12,8
2021-09-19,9
2021-09-26,8
2021-10-03,8
2021-10-10,8
2021-10-17,8
2021-10-24,9
2021-10-31,9
2021-11-07,9
2021-11-14,8
2021-11-21,8
2021-11-28,9
2021-12-05,8
2021-12-12,9
2021-12-19,9
2021-12-26,11
2022-01-02,9
2022-01-09,9
2022-01-16,8
2022-01-23,9
2022-01-30,9
2022-02-06,9
2022-02-13,9
2022-02-20,8
2022-02-27,8
2022-03-06,8
2022-03-13,9
2022-03-20,8
2022-03-27,9
2022-04-03,9
2022-04-10,8
2022-04-17,8
2022-04-24,7
2022-05-01,8
2022-05-08,8
2022-05-15,8
2022-05-22,8
2022-05-29,8
2022-06-05,8
2022-06-12,12
2022-06-19,8
2022-06-26,8
2022-07-03,7
2022-07-10,7
2022-07-17,7
2022-07-24,7
2022-07-31,8
2022-08-07,7
2022-08-14,7
2022-08-21,8
2022-08-28,7
2022-09-04,7
2022-09-11,8
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,8
2022-10-23,8
2022-10-30,8
2022-11-06,9
2022-11-13,8
2022-11-20,7
2022-11-27,9
2022-12-04,9
2022-12-11,9
2022-12-18,9
2022-12-25,9
2023-01-01,9
2023-01-08,9
2023-01-15,10
2023-01-22,9
2023-01-29,11
2023-02-05,9
2023-02-12,9
2023-02-19,9
2023-02-26,10
2023-03-05,9
2023-03-12,10
2023-03-19,9
2023-03-26,10
2023-04-02,9
2023-04-09,11
2023-04-16,12
2023-04-23,11
2023-04-30,12
2023-05-07,11
2023-05-14,10
2023-05-21,11
2023-05-28,10
2023-06-04,11
2023-06-11,14
2023-06-18,9
2023-06-25,12
2023-07-02,9
2023-07-09,8
2023-07-16,10
2023-07-23,9
2023-07-30,9
2023-08-06,17
2023-08-13,11
2023-08-20,10
2023-08-27,11
2023-09-03,13
2023-09-10,16
2023-09-17,17
2023-09-24,13
2023-10-01,13
2023-10-08,20
2023-10-15,17
2023-10-22,13
2023-10-29,16
2023-11-05,17
2023-11-12,18
2023-11-19,13
2023-11-26,15
2023-12-03,14
2023-12-10,13
2023-12-17,15
2023-12-24,13
2023-12-31,14
2024-01-07,14
2024-01-14,14
2024-01-21,16
2024-01-28,25
2024-02-04,23
2024-02-11,20
2024-02-18,18
2024-02-25,20
2024-03-03,33
2024-03-10,29
2024-03-17,25
2024-03-24,22
2024-03-31,20
2024-04-07,19
2024-04-14,16
2024-04-21,18
2024-04-28,25
2024-05-05,18
2024-05-12,21
2024-05-19,21
2024-05-26,19
2024-06-02,24
2024-06-09,24
2024-06-16,23
2024-06-23,23
2024-06-30,20
2024-07-07,20
2024-07-14,20
2024-07-21,18
2024-07-28,17
2024-08-04,24
2024-08-11,16
2024-08-18,15
2024-08-25,15
2024-09-01,14
2024-09-08,14
2024-09-15,15
2024-09-22,19
2024-09-29,18
2024-10-06,19
2024-10-13,16
2024-10-20,16
2024-10-27,17
2024-11-03,24
2024-11-10,18
2024-11-17,20
2024-11-24,15
2024-12-01,18
2024-12-08,16
2024-12-15,30
2024-12-22,27
2024-12-29,22
2025-01-05,22
2025-01-12,27
2025-01-19,28
2025-01-26,27
2025-02-02,30
2025-02-09,25
2025-02-16,25
2025-02-23,29
2025-03-02,23
2025-03-09,26
2025-03-16,22
2025-03-23,24
2025-03-30,25
2025-04-06,25
2025-04-13,23
2025-04-20,26
2025-04-27,26
2025-05-04,31
2025-05-11,33
2025-05-18,27
2025-05-25,23
2025-06-01,27
2025-06-08,31
2025-06-15,28
2025-06-22,34
2025-06-29,22
2025-07-06,22
2025-07-13,24
2025-07-20,25
2025-07-27,100
