date,Jerome Powell
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,16
2020-08-30,3
2020-09-06,2
2020-09-13,4
2020-09-20,4
2020-09-27,1
2020-10-04,5
2020-10-11,1
2020-10-18,2
2020-10-25,1
2020-11-01,3
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,1
2020-12-13,2
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,2
2021-01-17,2
2021-01-24,5
2021-01-31,1
2021-02-07,3
2021-02-14,1
2021-02-21,13
2021-02-28,18
2021-03-07,3
2021-03-14,18
2021-03-21,9
2021-03-28,2
2021-04-04,3
2021-04-11,9
2021-04-18,2
2021-04-25,5
2021-05-02,2
2021-05-09,1
2021-05-16,2
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,8
2021-06-20,6
2021-06-27,1
2021-07-04,1
2021-07-11,6
2021-07-18,2
2021-07-25,4
2021-08-01,1
2021-08-08,1
2021-08-15,3
2021-08-22,11
2021-08-29,4
2021-09-05,2
2021-09-12,2
2021-09-19,8
2021-09-26,7
2021-10-03,2
2021-10-10,2
2021-10-17,5
2021-10-24,2
2021-10-31,6
2021-11-07,4
2021-11-14,4
2021-11-21,18
2021-11-28,11
2021-12-05,4
2021-12-12,14
2021-12-19,2
2021-12-26,1
2022-01-02,2
2022-01-09,14
2022-01-16,3
2022-01-23,23
2022-01-30,3
2022-02-06,3
2022-02-13,3
2022-02-20,2
2022-02-27,7
2022-03-06,3
2022-03-13,7
2022-03-20,6
2022-03-27,2
2022-04-03,2
2022-04-10,2
2022-04-17,8
2022-04-24,3
2022-05-01,11
2022-05-08,5
2022-05-15,10
2022-05-22,6
2022-05-29,4
2022-06-05,3
2022-06-12,16
2022-06-19,14
2022-06-26,6
2022-07-03,3
2022-07-10,3
2022-07-17,2
2022-07-24,9
2022-07-31,3
2022-08-07,2
2022-08-14,2
2022-08-21,29
2022-08-28,11
2022-09-04,8
2022-09-11,4
2022-09-18,19
2022-09-25,11
2022-10-02,4
2022-10-09,4
2022-10-16,3
2022-10-23,3
2022-10-30,15
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,18
2022-12-04,3
2022-12-11,11
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,13
2023-01-15,3
2023-01-22,2
2023-01-29,13
2023-02-05,22
2023-02-12,4
2023-02-19,3
2023-02-26,2
2023-03-05,30
2023-03-12,9
2023-03-19,22
2023-03-26,3
2023-04-02,3
2023-04-09,2
2023-04-16,2
2023-04-23,4
2023-04-30,10
2023-05-07,3
2023-05-14,6
2023-05-21,2
2023-05-28,1
2023-06-04,2
2023-06-11,8
2023-06-18,15
2023-06-25,6
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,7
2023-07-30,2
2023-08-06,1
2023-08-13,2
2023-08-20,17
2023-08-27,4
2023-09-03,2
2023-09-10,2
2023-09-17,8
2023-09-24,5
2023-10-01,4
2023-10-08,2
2023-10-15,9
2023-10-22,5
2023-10-29,7
2023-11-05,12
2023-11-12,3
2023-11-19,2
2023-11-26,5
2023-12-03,5
2023-12-10,10
2023-12-17,3
2023-12-24,2
2023-12-31,2
2024-01-07,2
2024-01-14,1
2024-01-21,2
2024-01-28,9
2024-02-04,12
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,18
2024-03-10,14
2024-03-17,24
2024-03-24,12
2024-03-31,11
2024-04-07,6
2024-04-14,13
2024-04-21,5
2024-04-28,16
2024-05-05,5
2024-05-12,11
2024-05-19,9
2024-05-26,5
2024-06-02,4
2024-06-09,12
2024-06-16,4
2024-06-23,3
2024-06-30,7
2024-07-07,16
2024-07-14,12
2024-07-21,5
2024-07-28,11
2024-08-04,10
2024-08-11,5
2024-08-18,31
2024-08-25,9
2024-09-01,5
2024-09-08,7
2024-09-15,26
2024-09-22,7
2024-09-29,9
2024-10-06,6
2024-10-13,4
2024-10-20,3
2024-10-27,3
2024-11-03,28
2024-11-10,15
2024-11-17,5
2024-11-24,4
2024-12-01,9
2024-12-08,6
2024-12-15,24
2024-12-22,5
2024-12-29,3
2025-01-05,5
2025-01-12,4
2025-01-19,5
2025-01-26,18
2025-02-02,4
2025-02-09,15
2025-02-16,4
2025-02-23,3
2025-03-02,9
2025-03-09,5
2025-03-16,17
2025-03-23,4
2025-03-30,23
2025-04-06,16
2025-04-13,60
2025-04-20,40
2025-04-27,6
2025-05-04,18
2025-05-11,9
2025-05-18,4
2025-05-25,10
2025-06-01,33
2025-06-08,7
2025-06-15,19
2025-06-22,20
2025-06-29,20
2025-07-06,26
2025-07-13,61
2025-07-20,100
2025-07-27,58
