date,Salesforce
2020-01-01,81
2020-02-01,81
2020-03-01,74
2020-04-01,72
2020-05-01,69
2020-06-01,78
2020-07-01,78
2020-08-01,73
2020-09-01,72
2020-10-01,53
2020-11-01,45
2020-12-01,50
2021-01-01,48
2021-02-01,54
2021-03-01,56
2021-04-01,52
2021-05-01,54
2021-06-01,58
2021-07-01,56
2021-08-01,53
2021-09-01,58
2021-10-01,59
2021-11-01,59
2021-12-01,56
2022-01-01,68
2022-02-01,76
2022-03-01,73
2022-04-01,78
2022-05-01,80
2022-06-01,79
2022-07-01,79
2022-08-01,74
2022-09-01,83
2022-10-01,77
2022-11-01,75
2022-12-01,67
2023-01-01,83
2023-02-01,88
2023-03-01,81
2023-04-01,71
2023-05-01,75
2023-06-01,80
2023-07-01,80
2023-08-01,79
2023-09-01,75
2023-10-01,78
2023-11-01,73
2023-12-01,66
2024-01-01,81
2024-02-01,90
2024-03-01,85
2024-04-01,86
2024-05-01,86
2024-06-01,82
2024-07-01,85
2024-08-01,77
2024-09-01,83
2024-10-01,76
2024-11-01,73
2024-12-01,72
2025-01-01,83
2025-02-01,90
2025-03-01,80
2025-04-01,78
2025-05-01,80
2025-06-01,86
2025-07-01,84
2025-08-01,100
