date,Kroger stock price
2020-01-01,28
2020-02-01,46
2020-03-01,100
2020-04-01,67
2020-05-01,45
2020-06-01,52
2020-07-01,44
2020-08-01,42
2020-09-01,35
2020-10-01,31
2020-11-01,29
2020-12-01,34
2021-01-01,33
2021-02-01,37
2021-03-01,36
2021-04-01,33
2021-05-01,30
2021-06-01,32
2021-07-01,28
2021-08-01,43
2021-09-01,38
2021-10-01,29
2021-11-01,32
2021-12-01,38
2022-01-01,25
2022-02-01,21
2022-03-01,37
2022-04-01,27
2022-05-01,30
2022-06-01,30
2022-07-01,24
2022-08-01,23
2022-09-01,24
2022-10-01,31
2022-11-01,24
2022-12-01,23
2023-01-01,21
2023-02-01,24
2023-03-01,23
2023-04-01,21
2023-05-01,19
2023-06-01,22
2023-07-01,19
2023-08-01,20
2023-09-01,18
2023-10-01,17
2023-11-01,16
2023-12-01,20
2024-01-01,16
2024-02-01,16
2024-03-01,20
2024-04-01,16
2024-05-01,14
2024-06-01,14
2024-07-01,16
2024-08-01,17
2024-09-01,18
2024-10-01,16
2024-11-01,18
2024-12-01,21
2025-01-01,17
2025-02-01,26
2025-03-01,26
2025-04-01,32
2025-05-01,27
2025-06-01,25
2025-07-01,63
2025-08-01,52
