date,Workday
2020-08-02,41
2020-08-09,40
2020-08-16,41
2020-08-23,47
2020-08-30,43
2020-09-06,40
2020-09-13,41
2020-09-20,40
2020-09-27,42
2020-10-04,40
2020-10-11,39
2020-10-18,40
2020-10-25,40
2020-11-01,38
2020-11-08,42
2020-11-15,42
2020-11-22,34
2020-11-29,39
2020-12-06,40
2020-12-13,38
2020-12-20,31
2020-12-27,31
2021-01-03,44
2021-01-10,47
2021-01-17,49
2021-01-24,49
2021-01-31,46
2021-02-07,42
2021-02-14,42
2021-02-21,70
2021-02-28,60
2021-03-07,42
2021-03-14,42
2021-03-21,44
2021-03-28,45
2021-04-04,39
2021-04-11,42
2021-04-18,41
2021-04-25,41
2021-05-02,41
2021-05-09,43
2021-05-16,41
2021-05-23,45
2021-05-30,45
2021-06-06,45
2021-06-13,44
2021-06-20,44
2021-06-27,46
2021-07-04,45
2021-07-11,47
2021-07-18,47
2021-07-25,47
2021-08-01,46
2021-08-08,45
2021-08-15,46
2021-08-22,52
2021-08-29,53
2021-09-05,46
2021-09-12,51
2021-09-19,50
2021-09-26,49
2021-10-03,51
2021-10-10,50
2021-10-17,50
2021-10-24,54
2021-10-31,51
2021-11-07,50
2021-11-14,56
2021-11-21,46
2021-11-28,55
2021-12-05,54
2021-12-12,56
2021-12-19,44
2021-12-26,39
2022-01-02,59
2022-01-09,63
2022-01-16,58
2022-01-23,65
2022-01-30,65
2022-02-06,61
2022-02-13,59
2022-02-20,59
2022-02-27,63
2022-03-06,55
2022-03-13,54
2022-03-20,58
2022-03-27,64
2022-04-03,64
2022-04-10,64
2022-04-17,60
2022-04-24,59
2022-05-01,58
2022-05-08,61
2022-05-15,60
2022-05-22,62
2022-05-29,60
2022-06-05,64
2022-06-12,62
2022-06-19,65
2022-06-26,64
2022-07-03,60
2022-07-10,65
2022-07-17,65
2022-07-24,65
2022-07-31,63
2022-08-07,64
2022-08-14,65
2022-08-21,67
2022-08-28,64
2022-09-04,59
2022-09-11,66
2022-09-18,64
2022-09-25,68
2022-10-02,64
2022-10-09,63
2022-10-16,62
2022-10-23,67
2022-10-30,67
2022-11-06,67
2022-11-13,67
2022-11-20,51
2022-11-27,63
2022-12-04,59
2022-12-11,60
2022-12-18,57
2022-12-25,42
2023-01-01,64
2023-01-08,70
2023-01-15,73
2023-01-22,74
2023-01-29,78
2023-02-05,68
2023-02-12,73
2023-02-19,68
2023-02-26,75
2023-03-05,65
2023-03-12,61
2023-03-19,63
2023-03-26,67
2023-04-02,65
2023-04-09,67
2023-04-16,67
2023-04-23,63
2023-04-30,63
2023-05-07,58
2023-05-14,60
2023-05-21,64
2023-05-28,59
2023-06-04,66
2023-06-11,65
2023-06-18,65
2023-06-25,66
2023-07-02,60
2023-07-09,70
2023-07-16,63
2023-07-23,62
2023-07-30,64
2023-08-06,61
2023-08-13,60
2023-08-20,65
2023-08-27,67
2023-09-03,61
2023-09-10,60
2023-09-17,61
2023-09-24,69
2023-10-01,64
2023-10-08,58
2023-10-15,61
2023-10-22,62
2023-10-29,69
2023-11-05,63
2023-11-12,66
2023-11-19,47
2023-11-26,62
2023-12-03,64
2023-12-10,60
2023-12-17,59
2023-12-24,42
2023-12-31,61
2024-01-07,70
2024-01-14,70
2024-01-21,80
2024-01-28,84
2024-02-04,76
2024-02-11,75
2024-02-18,72
2024-02-25,78
2024-03-03,72
2024-03-10,73
2024-03-17,80
2024-03-24,80
2024-03-31,83
2024-04-07,79
2024-04-14,80
2024-04-21,74
2024-04-28,72
2024-05-05,73
2024-05-12,76
2024-05-19,77
2024-05-26,73
2024-06-02,80
2024-06-09,82
2024-06-16,75
2024-06-23,77
2024-06-30,69
2024-07-07,79
2024-07-14,77
2024-07-21,79
2024-07-28,81
2024-08-04,76
2024-08-11,77
2024-08-18,77
2024-08-25,83
2024-09-01,81
2024-09-08,81
2024-09-15,78
2024-09-22,77
2024-09-29,80
2024-10-06,69
2024-10-13,71
2024-10-20,79
2024-10-27,72
2024-11-03,74
2024-11-10,79
2024-11-17,77
2024-11-24,64
2024-12-01,73
2024-12-08,78
2024-12-15,80
2024-12-22,52
2024-12-29,64
2025-01-05,91
2025-01-12,93
2025-01-19,88
2025-01-26,89
2025-02-02,100
2025-02-09,84
2025-02-16,85
2025-02-23,92
2025-03-02,86
2025-03-09,82
2025-03-16,90
2025-03-23,85
2025-03-30,88
2025-04-06,89
2025-04-13,86
2025-04-20,81
2025-04-27,83
2025-05-04,85
2025-05-11,84
2025-05-18,84
2025-05-25,80
2025-06-01,86
2025-06-08,85
2025-06-15,79
2025-06-22,89
2025-06-29,86
2025-07-06,91
2025-07-13,89
2025-07-20,90
2025-07-27,96
