date,Broadcom
2020-01-01,22
2020-02-01,20
2020-03-01,24
2020-04-01,23
2020-05-01,21
2020-06-01,24
2020-07-01,21
2020-08-01,19
2020-09-01,22
2020-10-01,17
2020-11-01,16
2020-12-01,17
2021-01-01,17
2021-02-01,17
2021-03-01,17
2021-04-01,15
2021-05-01,14
2021-06-01,15
2021-07-01,16
2021-08-01,14
2021-09-01,15
2021-10-01,14
2021-11-01,15
2021-12-01,17
2022-01-01,18
2022-02-01,17
2022-03-01,18
2022-04-01,16
2022-05-01,33
2022-06-01,23
2022-07-01,19
2022-08-01,18
2022-09-01,18
2022-10-01,17
2022-11-01,16
2022-12-01,17
2023-01-01,17
2023-02-01,19
2023-03-01,19
2023-04-01,16
2023-05-01,23
2023-06-01,26
2023-07-01,23
2023-08-01,25
2023-09-01,27
2023-10-01,34
2023-11-01,40
2023-12-01,34
2024-01-01,34
2024-02-01,38
2024-03-01,44
2024-04-01,35
2024-05-01,43
2024-06-01,75
2024-07-01,73
2024-08-01,53
2024-09-01,61
2024-10-01,54
2024-11-01,46
2024-12-01,92
2025-01-01,76
2025-02-01,65
2025-03-01,70
2025-04-01,62
2025-05-01,57
2025-06-01,69
2025-07-01,71
2025-08-01,100
