date,Costco
2020-01-01,65
2020-02-01,64
2020-03-01,96
2020-04-01,89
2020-05-01,90
2020-06-01,77
2020-07-01,79
2020-08-01,80
2020-09-01,70
2020-10-01,71
2020-11-01,88
2020-12-01,87
2021-01-01,73
2021-02-01,70
2021-03-01,72
2021-04-01,72
2021-05-01,76
2021-06-01,75
2021-07-01,75
2021-08-01,70
2021-09-01,68
2021-10-01,75
2021-11-01,91
2021-12-01,93
2022-01-01,75
2022-02-01,68
2022-03-01,74
2022-04-01,75
2022-05-01,76
2022-06-01,80
2022-07-01,81
2022-08-01,75
2022-09-01,72
2022-10-01,75
2022-11-01,85
2022-12-01,83
2023-01-01,71
2023-02-01,68
2023-03-01,67
2023-04-01,75
2023-05-01,72
2023-06-01,77
2023-07-01,72
2023-08-01,69
2023-09-01,71
2023-10-01,72
2023-11-01,85
2023-12-01,92
2024-01-01,78
2024-02-01,70
2024-03-01,79
2024-04-01,78
2024-05-01,81
2024-06-01,83
2024-07-01,82
2024-08-01,83
2024-09-01,80
2024-10-01,78
2024-11-01,98
2024-12-01,100
2025-01-01,90
2025-02-01,85
2025-03-01,82
2025-04-01,83
2025-05-01,86
2025-06-01,87
2025-07-01,91
2025-08-01,94
