date,Adobe
2020-01-01,76
2020-02-01,78
2020-03-01,88
2020-04-01,100
2020-05-01,86
2020-06-01,83
2020-07-01,83
2020-08-01,76
2020-09-01,83
2020-10-01,74
2020-11-01,69
2020-12-01,66
2021-01-01,71
2021-02-01,64
2021-03-01,69
2021-04-01,64
2021-05-01,62
2021-06-01,63
2021-07-01,57
2021-08-01,59
2021-09-01,63
2021-10-01,66
2021-11-01,64
2021-12-01,55
2022-01-01,79
2022-02-01,81
2022-03-01,82
2022-04-01,78
2022-05-01,74
2022-06-01,73
2022-07-01,67
2022-08-01,70
2022-09-01,78
2022-10-01,72
2022-11-01,74
2022-12-01,65
2023-01-01,76
2023-02-01,79
2023-03-01,82
2023-04-01,73
2023-05-01,78
2023-06-01,83
2023-07-01,83
2023-08-01,83
2023-09-01,85
2023-10-01,83
2023-11-01,87
2023-12-01,73
2024-01-01,80
2024-02-01,91
2024-03-01,85
2024-04-01,83
2024-05-01,84
2024-06-01,81
2024-07-01,80
2024-08-01,84
2024-09-01,88
2024-10-01,92
2024-11-01,90
2024-12-01,83
2025-01-01,91
2025-02-01,93
2025-03-01,91
2025-04-01,87
2025-05-01,86
2025-06-01,81
2025-07-01,84
2025-08-01,92
