0
GS
MSFT
CAT
HD
SHW
UNH
V
AXP
MCD
JPM
AMGN
TRV
IBM
CRM
AAPL
AMZN
BA
HON
JNJ
NVDA
MMM
PG
CVX
DIS
WMT
TEVA
CYBR
CHKP
WIX
NVMI
MNDY
TSEM
GLBE
TSM
GILD
AMGN
ALNY
REGN
VRTX
IQV
INSM
ARGX
MTD
NTRA
BIIB
ONC
UTHR
WAT
INCY
BNTX
ILMN
NBIX
GMAB
MEDP
BMRN
EXEL
IONS
HALO
MDGL
FSLR
BE
NXT
ORA
ENPH
RUN
CWEN
CYBR
TEVA
CHKP
WIX
DOX
MNDY
VRNS
S
FROG
NVMI
TSEM
ORA
GLBE
DHI
LEN
PHM
NVR
TOL
LOW
HD
BLD
SHW
LII
TMHC
BLDR
MAS
IBP
OC
MTH
KBH
CVCO
MHO
FND
SKY
SSD
EXP
TPH
FBIN
CRDO
FN
BE
SATS
KTOS
IONQ
NXT
CDE
ENSG
XTSLA
HIMS
SPXC
STRL
GTLS
UMBF
RMBS
BBIO
MOD
AVAV
CVLT
HQY
IDCC
WTS
OKLO
UBER
UNP
UAL
DAL
NSC
UPS
FDX
CSX
ODFL
LUV
EXPD
XPO
CHRW
JBHT
AAL
SAIA
R
ALK
LYFT
KNX
JOBY
GXO
KEX
LSTR
SKYW
RKT
COOP
TBBK
PFSI
AX
C
CFG
WD
RF
WAL
VLY
CADE
CMA
NTRS
ABCB
BANC
ZION
JXN
KEY
BPOP
BK
FIBK
FNB
EWBC
BOKF
CFG
RF
WAL
ZION
EWBC
VLY
WBS
SSB
FHN
TFC
HBAN
MTB
BPOP
UMBF
SNV
ONB
FLG
WTFC
OZK
CFR
AUB
COLB
PB
CADE
PNFP
FERG
XYL
ECL
AWK
ROP
ACM
AOS
PNR
VLTO
WMS
MLI
IEX
CNM
WAT
TTEK
WTRG
MWA
ITRI
VMI
WTS
ZWS
BMI
FELE
SBS
CWT
NVDA
MSFT
AAPL
AVGO
AMZN
META
GOOGL
TSLA
GOOG
NFLX
COST
PLTR
TMUS
CSCO
AMD
LIN
PEP
INTU
BKNG
QCOM
SHOP
APP
MU
TXN
ISRG
NVDA
MSFT
AMD
JPM
NOW
INTU
DIS
ACN
MU
VZ
ADBE
LLY
T
ADI
V
JNJ
TJX
COST
TMUS
CVX
ABBV
BAC
PG
BKNG
TEL
NVDA
MSFT
AAPL
AMZN
AVGO
META
GOOGL
GOOG
TSLA
JPM
LLY
V
NFLX
XOM
ORCL
MA
WMT
COST
JNJ
HD
ABBV
PG
PLTR
BAC
FSLR
NXT
ENPH
RUN
HASI
DQ
SEDG
SHLS
CWEN
JKS
ARRY
FGSGF
CSIQ
LIN
NEM
SHW
MLM
VMC
ECL
FCX
APD
NUE
DD
CTVA
PPG
IP
SW
PKG
AMCR
STLD
DOW
IFF
LYB
BALL
CF
AVY
MOS
ALB
META
GOOGL
GOOG
NFLX
WBD
EA
TTWO
TMUS
T
VZ
DIS
CMCSA
LYV
CHTR
OMC
TKO
FOXA
NWSA
IPG
MTCH
FOX
PSKY
NWS
TTD
XOM
CVX
COP
WMB
EOG
MPC
SLB
KMI
PSX
VLO
BKR
OKE
TRGP
OXY
EQT
FANG
DVN
EXE
HAL
CTRA
TPL
APA
JPM
V
MA
BAC
WFC
GS
MS
C
AXP
SPGI
BLK
SCHW
PGR
COF
BX
CB
ICE
MMC
KKR
CME
AON
MCO
PNC
AJG
GE
RTX
CAT
UBER
GEV
BA
ETN
HON
UNP
ADP
DE
PH
LMT
TT
MMM
GD
WM
NOC
EMR
HWM
TDG
ITW
JCI
CTAS
URI
NVDA
MSFT
AAPL
AVGO
ORCL
PLTR
CSCO
AMD
IBM
CRM
NOW
INTU
QCOM
MU
TXN
LRCX
ACN
ADBE
APH
ANET
AMAT
PANW
KLAC
ADI
CRWD
WMT
COST
PG
KO
PM
PEP
MO
MDLZ
CL
MNST
KMB
TGT
KR
SYY
KDP
KVUE
ADM
GIS
HSY
CHD
DG
KHC
STZ
K
EL
PLD
WELL
AMT
EQIX
SPG
DLR
O
CBRE
PSA
CCI
CSGP
VICI
EXR
VTR
IRM
AVB
EQR
SBAC
WY
INVH
ESS
MAA
KIM
ARE
DOC
NEE
SO
CEG
DUK
VST
AEP
SRE
D
EXC
XEL
PEG
ETR
ED
WEC
PCG
NRG
DTE
AWK
AEE
PPL
ATO
CNP
ES
FE
EIX
LLY
JNJ
ABBV
UNH
ABT
MRK
TMO
ISRG
BSX
AMGN
GILD
PFE
SYK
DHR
MDT
VRTX
CVS
BMY
MCK
CI
ELV
HCA
ZTS
REGN
BDX
AMZN
TSLA
HD
MCD
BKNG
TJX
LOW
SBUX
ORLY
DASH
NKE
RCL
AZO
HLT
MAR
GM
ABNB
CMG
DHI
ROST
F
EBAY
YUM
GRMN
CCL
