ETF,Ticker
ITB,TPH
ITB,FBIN
ICLN,FSLR
ICLN,BE
ICLN,NXT
ICLN,ORA
ICLN,ENPH
ICLN,RUN
ICLN,CWEN
TAN,FSLR
TAN,NXT
TAN,ENPH
TAN,RUN
TAN,HASI
TAN,DQ
TAN,SEDG
TAN,SHLS
TAN,CWEN
TAN,JKS
TAN,ARRY
TAN,FGSGF
TAN,CSIQ
PHO,FERG
PHO,XYL
PHO,ECL
PHO,AWK
PHO,ROP
PHO,ACM
PHO,AOS
PHO,PNR
PHO,VLTO
PHO,WMS
PHO,MLI
PHO,IEX
PHO,CNM
PHO,WAT
PHO,TTEK
PHO,WTRG
PHO,MWA
PHO,ITRI
PHO,VMI
PHO,WTS
PHO,ZWS
PHO,BMI
PHO,FELE
PHO,SBS
PHO,CWT
EIS,TEVA
EIS,CYBR
EIS,CHKP
EIS,WIX
EIS,NVMI
EIS,MNDY
EIS,TSEM
EIS,GLBE
ISRA,CYBR
ISRA,TEVA
ISRA,CHKP
ISRA,WIX
ISRA,DOX
ISRA,MNDY
ISRA,VRNS
ISRA,S
ISRA,FROG
ISRA,NVMI
ISRA,TSEM
ISRA,ORA
ISRA,GLBE
FRDM,TSM
SHE,NVDA
SHE,MSFT
SHE,AMD
SHE,JPM
SHE,NOW
SHE,INTU
SHE,DIS
SHE,ACN
SHE,MU
SHE,VZ
SHE,ADBE
SHE,LLY
SHE,T
SHE,ADI
SHE,V
SHE,JNJ
SHE,TJX
SHE,COST
SHE,TMUS
SHE,CVX
SHE,ABBV
SHE,BAC
SHE,PG
SHE,BKNG
SHE,TEL
SPY,NVDA
SPY,MSFT
SPY,AAPL
SPY,AMZN
SPY,AVGO
SPY,META
SPY,GOOGL
SPY,GOOG
SPY,TSLA
SPY,JPM
SPY,LLY
SPY,V
SPY,NFLX
SPY,XOM
SPY,ORCL
SPY,MA
SPY,WMT
SPY,COST
SPY,JNJ
SPY,HD
SPY,ABBV
SPY,PG
SPY,PLTR
SPY,BAC
QQQ,NVDA
QQQ,MSFT
QQQ,AAPL
QQQ,AVGO
QQQ,AMZN
QQQ,META
QQQ,GOOGL
QQQ,TSLA
QQQ,GOOG
QQQ,NFLX
QQQ,COST
QQQ,PLTR
QQQ,TMUS
QQQ,CSCO
QQQ,AMD
QQQ,LIN
QQQ,PEP
QQQ,INTU
QQQ,BKNG
QQQ,QCOM
QQQ,SHOP
QQQ,APP
QQQ,MU
QQQ,TXN
QQQ,ISRG
IWM,CRDO
IWM,FN
IWM,BE
IWM,SATS
IWM,KTOS
IWM,IONQ
IWM,NXT
IWM,CDE
IWM,ENSG
IWM,XTSLA
IWM,HIMS
IWM,SPXC
IWM,STRL
IWM,GTLS
IWM,UMBF
IWM,RMBS
IWM,BBIO
IWM,MOD
IWM,AVAV
IWM,CVLT
IWM,HQY
IWM,IDCC
IWM,WTS
IWM,OKLO
DIA,GS
DIA,MSFT
DIA,CAT
DIA,HD
DIA,SHW
DIA,UNH
DIA,V
DIA,AXP
DIA,MCD
DIA,JPM
DIA,AMGN
DIA,TRV
DIA,IBM
DIA,CRM
DIA,AAPL
DIA,AMZN
DIA,BA
DIA,HON
DIA,JNJ
DIA,NVDA
DIA,MMM
DIA,PG
DIA,CVX
DIA,DIS
DIA,WMT
