Price,Close,High,Low,Open,Volume
Ticker,IP,IP,IP,IP,IP
Date,,,,,
2020-09-15,31.827648162841797,31.90404599164829,31.14770010027369,31.323417568592063,4170778
2020-09-16,32.02627944946289,32.37771125458883,31.644284208893648,32.018637821207356,3735283
2020-09-17,32.7673454284668,32.9277857854082,31.254653718119293,31.60608863793538,4811875
2020-09-18,32.125606536865234,32.91251292822513,32.079769062607674,32.53052063989949,4923283
2020-09-21,31.35397720336914,31.69777053634301,30.7580685543758,31.4074563030575,2991542
2020-09-22,31.15534019470215,31.48385333689902,30.803905240664964,31.224099475064158,2086973
2020-09-23,30.00172233581543,31.185901070703917,29.963523418893804,31.124780341565703,3216259
2020-09-24,29.955881118774414,30.521229327095348,29.566247290793513,30.085758035575004,2070288
2020-09-25,31.445650100708008,31.71304555561558,29.321769718961036,29.61208390498096,6448358
2020-09-28,31.453289031982422,31.904043573973066,31.071299916896947,31.713045938851252,3563366
2020-09-29,30.773351669311523,31.522059136295827,30.406639566548506,31.522059136295827,2965670
2020-09-30,30.97198486328125,31.331058377635788,30.712230995593917,30.826827747059586,2622365
2020-10-01,30.521236419677734,31.445658310052757,30.437196946887337,31.162985678993856,2873693
2020-10-02,30.926143646240234,31.147701669552593,29.910043854698852,30.03228223349542,2966621
2020-10-05,31.651935577392578,31.949888386734088,31.224102745948578,31.361618243498587,2545171
2020-10-06,31.071304321289062,31.888767914122326,31.040743956718625,31.70540880427923,2824166
2020-10-07,31.942243576049805,32.07212049512892,31.3004944546059,31.392172460872292,2967677
2020-10-08,32.461753845214844,32.477037104655686,31.926965945541816,31.942246127403234,2185709
2020-10-09,32.599266052246094,33.76816434471496,32.599266052246094,33.27157238008995,4915786
2020-10-12,33.97444534301758,34.39463956843899,33.12642141769024,33.569534376882814,4775021
2020-10-13,33.62301254272461,34.10432440406347,33.21045995837407,33.67649163842893,2878867
2020-10-14,34.11960220336914,34.36407585410774,33.82164638308064,33.82164638308064,3071482
2020-10-15,34.79955291748047,34.845390384107795,33.59245551765692,33.68413352849092,3968976
2020-10-16,35.55590057373047,35.76217533891501,35.005829403939224,35.418382011887786,5185277
