Price,Close,High,Low,Open,Volume
Ticker,ODFL,ODFL,ODFL,ODFL,ODFL
Date,,,,,
2020-09-15,96.52204895019531,96.78600750699013,94.07795785153395,94.70364457608933,2432800
2020-09-16,92.91458892822266,97.15264294819261,92.7728274358115,97.1282005399725,1911800
2020-09-17,93.11986541748047,93.9704117552711,90.50468511122287,91.45299359549233,1625800
2020-09-18,89.97677612304688,93.07588194374983,89.01868910030522,93.07588194374983,3200400
2020-09-21,87.30782318115234,89.20444027478091,86.20309668141024,88.96003116307719,3587200
2020-09-22,88.33924102783203,89.04802604905365,86.19821455354973,87.50335847894335,2562400
2020-09-23,89.05289459228516,90.65133216775497,88.01171691582982,88.38321605639914,2150000
2020-09-24,89.90833282470703,90.7882071242086,88.14370618737158,88.52498380735989,2306600
2020-09-25,89.16533660888672,90.50958676376665,88.51520745711005,89.07245995023656,1558000
2020-09-28,91.5801010131836,91.79517477521125,90.16741658612354,90.23585084194471,1587800
2020-09-29,90.48513793945312,92.03957624622079,90.38248283486759,91.02284094676047,2621400
2020-09-30,88.4369888305664,91.4090044146076,87.89929327986246,90.92018620918188,2012800
2020-10-01,89.34131622314453,90.38738701002761,88.23169667511686,89.18489079841164,1854800
2020-10-02,90.21627807617188,91.48720827089102,88.32455419090918,88.32455419090918,1190400
2020-10-05,92.1227035522461,92.66529218393113,90.49982315521497,90.49982315521497,1414800
2020-10-06,92.4404296875,93.94109800091337,90.90065501474756,92.32800356613477,1529200
2020-10-07,94.30770874023438,94.8991821506796,92.89013868829481,93.32518666634041,1516000
2020-10-08,96.3509750366211,96.43407325224487,94.3419315330837,94.84541378342351,1281000
2020-10-09,97.64632415771484,98.01293781977009,96.24341826439115,96.80067073236415,1733800
2020-10-12,98.13513946533203,99.47450402283741,97.99827096558974,98.28178641756273,1153000
2020-10-13,98.06184387207031,98.99548865717075,97.70500858547732,98.0227375112583,1003200
2020-10-14,98.99058532714844,100.2077455065084,98.41866884540819,98.41866884540819,885000
2020-10-15,99.72380828857422,100.2615113459584,97.76364979533656,98.13026348206907,761400
2020-10-16,98.04718780517578,99.85092875178744,97.96897507726102,99.67983934182094,1120800
