Price,Close,High,Low,Open,Volume
Ticker,XEL,XEL,XEL,XEL,XEL
Date,,,,,
2020-09-15,60.61583709716797,61.252899838675035,60.1079038134365,60.14234052488703,1830200
2020-09-16,61.05489730834961,61.41647296735576,60.417834494653285,60.805236048141026,2143200
2020-09-17,58.91986846923828,60.314519197183735,58.592722985394246,60.14234220325731,2704500
2020-09-18,57.594093322753906,59.03179180103957,57.27555861079164,58.85100395959038,3958200
2020-09-21,57.37025833129883,57.749055659646345,56.55240762851107,57.60270453483293,1776300
2020-09-22,57.56825256347656,58.274188672265296,57.00005672150654,57.292765461708534,1629700
2020-09-23,56.982852935791016,57.800703583841006,56.888153610042245,57.64574164790047,2198900
2020-09-24,57.740447998046875,58.08480862737803,56.655714314500166,56.90537560656194,2035100
2020-09-25,58.971519470214844,59.05760796603417,57.258334101324756,57.42190027294211,2217000
2020-09-28,59.2728385925293,59.62581000030194,58.85961114279711,59.28144941343719,2062300
2020-09-29,59.10065841674805,59.849635592309426,58.88543388250507,59.505281592025895,2066200
2020-09-30,59.41060256958008,59.91852949122735,59.1523304129953,59.4364284716118,3208500
2020-10-01,60.59000778198242,60.61584024300931,59.60858444316722,59.754942116460434,2240200
2020-10-02,60.67610549926758,61.02907033114056,59.81520733511761,60.168172166990594,2265300
2020-10-05,61.52839660644531,61.59727004014198,59.91851457647955,60.64167249403023,1581900
2020-10-06,62.3720817565918,62.802530924182165,61.0979558986788,61.23569621687853,2525200
2020-10-07,62.06215286254883,62.68200066516292,61.356216546934455,62.50982363916235,1724500
2020-10-08,62.423736572265625,62.61313524613336,62.0277241487843,62.35486313301687,1899600
2020-10-09,62.59591293334961,62.9144476603717,62.18268543853822,62.83696340001169,1464500
2020-10-12,63.37931823730469,64.0594285003445,62.742248936858665,62.991910165174374,2274300
2020-10-13,62.84557342529297,63.232975017784916,62.40651347050491,63.181323223621334,2608900
2020-10-14,62.28598403930664,63.14688224736377,62.03632277079423,63.14688224736377,1722700
2020-10-15,62.15684509277344,62.77669282453905,61.76944354448582,61.84692122689063,2039700
2020-10-16,62.95749282836914,63.31046429816705,61.855544011269494,62.21711973535537,2701400
2020-10-19,61.717796325683594,63.138273153328775,61.51978684243587,62.75087157635868,4013300
2020-10-20,61.58006286621094,62.1310373289743,61.25292383148697,62.019122899021454,1876600
2020-10-21,61.58006286621094,62.05355962396087,61.209876283279264,61.58006286621094,1842800
2020-10-22,61.47673797607422,61.98466471478395,61.17541837920555,61.59726318756912,2035200
2020-10-23,61.52839660644531,61.93301981924804,61.244298618545685,61.9157981767578,1646700
2020-10-26,61.717796325683594,61.78666319243161,60.59001517594894,60.83967645129074,1695100
2020-10-27,62.268760681152344,62.94887096321435,61.519776975256704,61.95883684203216,2564800
2020-10-28,60.48670196533203,62.40650103812574,60.40061346949876,61.605865547427,2679500
2020-10-29,60.899940490722656,61.571440076197554,59.31589086018008,60.23705172684249,3221400
2020-10-30,60.28870391845703,61.080728738961014,59.668856122190455,60.417839970701316,2393900
2020-11-02,61.79527282714844,62.41512059290324,60.47809960898555,61.16682080829803,2674100
2020-11-03,62.82836151123047,63.749522439581334,62.16546613482498,62.16546613482498,2471600
2020-11-04,62.60452651977539,64.23162380972866,62.484001281122026,63.60316514977937,2283700
